VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,09/20/2018 08:50:52 AM,09/20/2018 09:31:49 AM,1,2.7,1,N,246,162,2,23.5,0.0,0.5,0.0,0.0,0.3,24.3
2,09/20/2018 07:46:14 AM,09/20/2018 08:13:57 AM,2,2.48,1,N,236,236,1,17.5,0.0,0.5,2.2,0.0,0.3,20.5
2,09/20/2018 08:15:09 AM,09/20/2018 08:27:04 AM,1,1.26,1,N,236,238,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,09/20/2018 08:32:28 AM,09/20/2018 08:35:35 AM,1,0.66,1,N,238,239,1,4.5,0.0,0.5,0.53,0.0,0.3,5.83
2,09/20/2018 08:41:01 AM,09/20/2018 08:46:03 AM,1,0.92,1,N,239,238,1,5.5,0.0,0.5,1.58,0.0,0.3,7.88
2,09/20/2018 08:25:51 AM,09/20/2018 08:40:53 AM,1,2.19,1,N,164,144,1,11.5,0.0,0.5,1.0,0.0,0.3,13.3
2,09/20/2018 08:43:58 AM,09/20/2018 08:58:25 AM,1,1.81,1,N,114,231,1,11.0,0.0,0.5,2.0,0.0,0.3,13.8
2,09/20/2018 08:06:35 AM,09/20/2018 08:22:06 AM,1,1.46,1,N,48,186,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
2,09/20/2018 08:22:51 AM,09/20/2018 08:35:18 AM,1,1.36,1,N,186,230,1,9.0,0.0,0.5,1.5,0.0,0.3,11.3
2,09/20/2018 08:40:19 AM,09/20/2018 08:45:28 AM,1,0.7,1,N,230,100,1,5.0,0.0,0.5,0.58,0.0,0.3,6.38
2,09/20/2018 08:48:39 AM,09/20/2018 09:04:57 AM,1,1.09,1,N,186,170,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
2,09/20/2018 08:05:58 AM,09/20/2018 08:16:20 AM,1,0.78,1,N,162,163,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,09/20/2018 08:23:37 AM,09/20/2018 09:08:06 AM,1,6.47,1,N,161,88,1,31.0,0.0,0.5,6.36,0.0,0.3,38.16
2,09/20/2018 08:46:33 AM,09/20/2018 09:01:00 AM,1,2.42,1,N,42,236,1,11.5,0.0,0.5,2.0,0.0,0.3,14.3
